Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
College of Agriculture and Natural Resources,Phoenix,College of Arts and Sciences,Scholarship,8439,2013-01-12,Women's and Gender Studies,2025,AZ
Minority Scholarship Fund,Phoenix,College of Arts and Sciences,Scholarship,6054,2014-10-12,Women's and Gender Studies,2025,AZ
College of Business,Chicago,College of Natural Science,Scholarship,3600,2012-01-03,Biochemistry and Molecular Biology/Biotechnology,2026,IL
Diversity Fund,Chicago,College of Natural Science,Endowment,9438,2013-05-06,Biochemistry and Molecular Biology/Biotechnology,2026,IL
College of Social Science,Phoenix,College of Social Science,Scholarship,1355,2014-07-23,History Education,2027,AZ
Campus Museums,Phoenix,College of Social Science,Campus Resource,4901,2012-08-15,History Education,2027,AZ
Parents Association,Savannah,College of Engineering,Campus Resource,3402,2013-07-07,Computer Engineering,2028,GA
College of Natural Science,Savannah,College of Engineering,Scholarship,6133,2014-11-11,Computer Engineering,2028,GA
Honors Program,Boston,College of Political Science,Campus Resource,9788,2012-02-11,College of Political Science,2029,MA
Parents Association,Orlando,College of Agriculture and Natural Resources,Campus Resource,7159,2013-10-15,Horticulture,2030,FL
Alumni Association,Seattle,College of Education,Campus Resource,2896,2014-08-26,Education,2031,WA
Honors Program,Overland Park,College of Social Science,Campus Resource,6779,2012-07-14,Global & Area Studies - Soc Sci,2032,KS
Trustees Fund,Spokane,College of Agriculture and Natural Resources,Endowment,5177,2013-02-07,Fisheries and Wildlife,2033,WA
Diversity Fund,San Francisco,College of Engineering,Endowment,8184,2014-04-16,Electrical Engineering,2034,CA
Campus Recreation,Chicago,College of Business,Campus Resource,650,2012-04-05,Accounting,2035,IL
College of Natural Science,Phoenix,College of Social Science,Scholarship,1080,2013-06-10,Geography,2036,AZ
College of Natural Science,Little Rock,College of Natural Science,Scholarship,3780,2014-04-24,Actuarial Science,2037,AR
University Annual Fund,Durham,College of Natural Science,Endowment,8599,2012-05-17,Actuarial Science,2038,NC
Diversity Fund,Des Moines,College of Social Science,Endowment,7372,2013-11-14,History,2039,IA
College of Agriculture and Natural Resources,Des Moines,College of Social Science,Scholarship,1532,2014-10-25,History,2039,IA
College of Natural Science,Richmond,College of Political Science,Scholarship,6904,2012-08-23,Comparative Cultures and Politics,2040,VA
Trustees Fund,Richmond,College of Political Science,Endowment,5976,2013-07-01,Comparative Cultures and Politics,2040,VA
Parents Association,Colorado Springs,College of Natural Science,Campus Resource,5207,2014-06-17,Zoology,2041,CO
Faculty Chair Endowments,Colorado Springs,College of Natural Science,Endowment,6480,2012-01-29,Zoology,2041,CO
Campus Museums,Raleigh,College of Political Science,Campus Resource,493,2013-05-11,College of Political Science,2042,NC
Trustees Fund,Raleigh,College of Political Science,Endowment,9612,2014-02-02,College of Political Science,2042,NC
Faculty Chair Endowments,Houston,College of Agriculture and Natural Resources,Endowment,8262,2012-02-09,Landscape Architecture,2043,TX
College of Natural Science,Houston,College of Agriculture and Natural Resources,Scholarship,3180,2013-02-02,Landscape Architecture,2043,TX
College of Arts and Sciences,Denver,College of Social Science,Scholarship,12960,2014-01-16,Sociology,2044,CO
College of Arts and Sciences,Denver,College of Social Science,Scholarship,13518,2012-11-01,Sociology,2044,CO
College of Arts and Sciences,Los Angeles,College of Engineering,Scholarship,4565,2013-02-02,Computer Engineering,2045,CA
College of Arts and Sciences,Los Angeles,College of Engineering,Scholarship,8657,2014-07-05,Computer Engineering,2045,CA
College of Natural Science,Billings,College of Natural Science,Scholarship,6197,2012-11-26,Biochemistry and Molecular Biology/Biotechnology,2046,MT
College of Natural Science,Billings,College of Natural Science,Scholarship,5879,2013-11-19,Biochemistry and Molecular Biology/Biotechnology,2046,MT
College of Social Science,Phoenix,College of Agriculture and Natural Resources,Scholarship,6006,2014-03-25,Construction Management,2047,AZ
Diversity Fund,Phoenix,College of Agriculture and Natural Resources,Endowment,8528,2012-07-18,Construction Management,2047,AZ
Campus Recreation,Indianapolis,College of Natural Science,Campus Resource,3599,2013-05-18,Biochemistry and Molecular Biology,2048,IN
In-State Scholarship Fund,Indianapolis,College of Natural Science,Scholarship,5010,2014-02-23,Biochemistry and Molecular Biology,2048,IN
College of Veterinary Medicine,San Francisco,College of Political Science,Scholarship,903,2012-10-19,Political Theory and Constitutional Democracy,2049,CA
University Annual Fund,San Francisco,College of Political Science,Endowment,6658,2013-01-20,Political Theory and Constitutional Democracy,2049,CA
College of Nursing,Richmond,College of Agriculture and Natural Resources,Scholarship,6225,2014-06-24,Food Science,2050,VA
University Annual Fund,Richmond,College of Agriculture and Natural Resources,Endowment,530,2012-01-21,Food Science,2050,VA
University Libraries,Mesa,College of Agriculture and Natural Resources,Campus Resource,9191,2013-10-07,Interior Design,2051,AZ
Athletics,Mesa,College of Agriculture and Natural Resources,Campus Resource,2413,2014-06-11,Interior Design,2051,AZ
College of Education,Denver,College of Agriculture and Natural Resources,Scholarship,13497,2012-06-10,Food Science,2052,CO
College of Agriculture and Natural Resources,Denver,College of Agriculture and Natural Resources,Scholarship,8419.5,2013-07-08,Food Science,2052,CO
Parents Association,Mobile,College of Natural Science,Campus Resource,1270,2014-10-18,Plant Biology,2053,AL
Faculty Chair Endowments,Mobile,College of Natural Science,Endowment,2464,2012-01-21,Plant Biology,2053,AL
College of Arts and Sciences,San Diego,College of Arts and Sciences,Scholarship,4049,2013-12-22,Experience Architecture,2054,CA
University Annual Fund,San Diego,College of Arts and Sciences,Endowment,8017,2014-01-22,Experience Architecture,2054,CA
Campus Recreation,San Diego,College of Arts and Sciences,Campus Resource,645,2012-11-16,Linguistics,2055,CA
College of Social Science,San Diego,College of Arts and Sciences,Scholarship,3883,2013-11-13,Linguistics,2055,CA
Faculty Chair Endowments,Seattle,College of Natural Science,Endowment,5110,2014-02-12,Physical Science Interdepartmental,2056,WA
Campus Museums,Seattle,College of Natural Science,Campus Resource,3715,2012-08-03,Physical Science Interdepartmental,2056,WA
College of Social Science,New York,College of Arts and Sciences,Scholarship,1562,2013-08-01,Linguistics,2057,NY
Minority Scholarship Fund,New York,College of Arts and Sciences,Scholarship,5718,2014-01-10,Linguistics,2057,NY
Trustees Fund,Tulsa,College of Education,Endowment,3708,2012-06-03,Special Education-Learning Disabilities,2058,OK
Honors Program,Tulsa,College of Education,Campus Resource,5275,2012-08-19,Special Education-Learning Disabilities,2058,OK
Campus Museums,Louisville,College of Arts and Sciences,Campus Resource,3009,2012-11-06,English,2059,KY
University Annual Fund,Louisville,College of Arts and Sciences,Endowment,5056,2012-11-24,English,2059,KY
Minority Scholarship Fund,Dallas,College of Natural Science,Scholarship,7895,2012-05-13,Chemical Physics,2060,TX
College of Business,Dallas,College of Natural Science,Scholarship,5510,2012-03-13,Chemical Physics,2060,TX
College of Political Science,Boston,College of Social Science,Scholarship,292,2012-01-31,Economics,2061,MA
Diversity Fund,Boston,College of Social Science,Endowment,4264,2012-04-29,Economics,2061,MA
College of Agriculture and Natural Resources,Dallas,College of Business,Scholarship,1757,2012-08-25,Hospitality Business,2062,TX
College of Arts and Sciences,Dallas,College of Business,Scholarship,7342,2012-02-11,Hospitality Business,2062,TX
Faculty Chair Endowments,Manchester,College of Music,Endowment,486,2012-10-29,Music Performance,2063,NH
Athletics,Manchester,College of Music,Campus Resource,9665,2013-11-07,Music Performance,2063,NH
College of Natural Science,Cincinnati,College of Arts and Sciences,Scholarship,2886,2014-02-08,Women's and Gender Studies,2064,OH
Parents Association,Cincinnati,College of Arts and Sciences,Campus Resource,9013,2012-08-26,Women's and Gender Studies,2064,OH
College of Engineering,Mobile,College of Arts and Sciences,Scholarship,2279,2013-07-04,Professional Writing,2065,AL
College of Business,Mobile,College of Arts and Sciences,Scholarship,309,2014-08-04,Professional Writing,2065,AL
College of Agriculture and Natural Resources,Denver,College of Arts and Sciences,Scholarship,13429.5,2012-06-04,Art Education,2066,CO
Honors Program,Denver,College of Arts and Sciences,Campus Resource,11214,2013-05-09,Art Education,2066,CO
University Libraries,Manchester,College of Arts and Sciences,Campus Resource,8299,2014-03-27,Arts & Letters-General,2067,NH
Campus Museums,Manchester,College of Arts and Sciences,Campus Resource,3263,2012-05-06,Arts & Letters-General,2067,NH
Minority Scholarship Fund,Dallas,College of Natural Science,Scholarship,3984,2013-08-07,Plant Biology,2068,TX
College of Arts and Sciences,Dallas,College of Natural Science,Scholarship,9379,2014-04-17,Plant Biology,2068,TX
Minority Scholarship Fund,Denver,College of Natural Science,Scholarship,9081,2012-12-01,Statistics,2069,CO
College of Social Science,Denver,College of Natural Science,Scholarship,13830,2013-09-04,Statistics,2069,CO
College of Agriculture and Natural Resources,Denver,College of Agriculture and Natural Resources,Scholarship,14157,2014-10-04,Fisheries and Wildlife,2070,CO
Trustees Fund,Denver,College of Natural Science,Endowment,7351.5,2012-01-10,Chemical Physics,2071,CO
Campus Museums,Denver,College of Natural Science,Campus Resource,11058,2013-03-12,Chemical Physics,2071,CO
University Annual Fund,Detroit,College of Arts and Sciences,Endowment,6133,2014-11-29,Art History and Visual Culture,2072,MI
University Libraries,Detroit,College of Arts and Sciences,Campus Resource,9657,2012-02-07,Art History and Visual Culture,2072,MI
Minority Scholarship Fund,Cincinnati,College of Agriculture and Natural Resources,Scholarship,1532,2013-06-29,Interior Design,2073,OH
Faculty Chair Endowments,Cincinnati,College of Agriculture and Natural Resources,Endowment,9923,2014-12-09,Interior Design,2073,OH
University Libraries,Milwaukee,College of Natural Science,Campus Resource,5976,2012-06-01,Environmental Biology/Microbiology,2074,WI
Athletics,Milwaukee,College of Natural Science,Campus Resource,6805,2013-01-23,Environmental Biology/Microbiology,2074,WI
Athletics,Denver,College of Arts and Sciences,Campus Resource,9720,2014-06-07,English,2075,CO
College of Engineering,Denver,College of Arts and Sciences,Scholarship,8953.5,2012-01-30,English,2075,CO
College of Engineering,Los Angeles,College of Arts and Sciences,Scholarship,9612,2013-10-27,German,2076,CA
University Annual Fund,Los Angeles,College of Arts and Sciences,Endowment,2329,2014-10-23,German,2076,CA
College of Social Science,Savannah,College of Natural Science,Scholarship,3180,2012-11-06,Human Biology,2077,GA
College of Communication Arts and Sciences,Savannah,College of Natural Science,Scholarship,8796,2013-11-20,Human Biology,2077,GA
Honors Program,Oklahoma City,College of Arts and Sciences,Campus Resource,9012,2014-10-10,Professional Writing,2078,OK
Trustees Fund,Oklahoma City,College of Arts and Sciences,Endowment,711,2012-10-12,Professional Writing,2078,OK
University Annual Fund,Wichita,College of Natural Science,Endowment,8657,2013-06-15,Mathematics,2079,KS
Trustees Fund,Wichita,College of Natural Science,Endowment,4897,2014-03-22,Mathematics,2079,KS
Trustees Fund,Phoenix,College of Political Science,Endowment,5879,2012-07-23,Comparative Cultures and Politics,2080,AZ
Trustees Fund,Phoenix,College of Political Science,Endowment,2163,2013-10-05,Comparative Cultures and Politics,2080,AZ
Diversity Fund,Wichita,College of Nursing,Endowment,8528,2014-09-12,Nursing,2081,KS
Trustees Fund,Wichita,College of Nursing,Endowment,2731,2012-11-11,Nursing,2081,KS
Trustees Fund,San Francisco,College of Arts and Sciences,Endowment,5010,2013-09-08,Theatre,2082,CA
University Annual Fund,San Francisco,College of Arts and Sciences,Endowment,6838,2014-01-16,Theatre,2082,CA
College of Social Science,Los Angeles,College of Arts and Sciences,Scholarship,6658,2012-08-26,Studio Art,2083,CA
Diversity Fund,Los Angeles,College of Arts and Sciences,Endowment,2775,2013-03-26,Studio Art,2083,CA
Campus Recreation,Washington,College of Natural Science,Campus Resource,530,2014-05-19,Biochemistry and Molecular Biology/Biotechnology,2084,DC
University Libraries,Washington,College of Natural Science,Campus Resource,4510,2012-04-16,Biochemistry and Molecular Biology/Biotechnology,2084,DC
College of Arts and Sciences,Austin,College of Social Science,Scholarship,2413,2013-11-24,Sociology,2085,TX
College of Natural Science,Austin,College of Social Science,Scholarship,1896,2014-05-16,Sociology,2085,TX
College of Engineering,Providence,College of Music,Scholarship,5613,2012-04-24,Music,2086,RI
College of Agriculture and Natural Resources,Providence,College of Music,Scholarship,6200,2013-03-21,Music,2086,RI
University Annual Fund,Syracuse,College of Social Science,Endowment,2464,2014-10-12,Global & Area Studies - Soc Sci,2087,NY
College of Natural Science,Syracuse,College of Social Science,Scholarship,6032,2012-10-25,Global & Area Studies - Soc Sci,2087,NY
Minority Scholarship Fund,Scottsdale,College of Agriculture and Natural Resources,Scholarship,8017,2013-02-10,Landscape Architecture,2088,AZ
Alumni Association,Scottsdale,College of Agriculture and Natural Resources,Campus Resource,5202,2014-02-26,Landscape Architecture,2088,AZ
Faculty Chair Endowments,Columbia,College of Arts and Sciences,Endowment,3883,2012-06-17,Women's and Gender Studies,2089,SC
In-State Scholarship Fund,Columbia,College of Arts and Sciences,Scholarship,8364,2013-12-06,Women's and Gender Studies,2089,SC
College of Natural Science,Detroit,College of Social Science,Scholarship,3715,2014-08-25,Interdisciplinary Studies in Social Science,2090,MI
College of Music,Detroit,College of Social Science,Scholarship,554,2012-02-02,Interdisciplinary Studies in Social Science,2090,MI
In-State Scholarship Fund,Houston,College of Natural Science,Scholarship,5718,2013-01-15,Computational Mathematics,2091,TX
Faculty Chair Endowments,Houston,College of Natural Science,Endowment,582,2014-12-22,Computational Mathematics,2091,TX
Trustees Fund,Los Angeles,College of Arts and Sciences,Endowment,5510,2012-01-16,Spanish,2094,CA
College of Agriculture and Natural Resources,Los Angeles,College of Arts and Sciences,Scholarship,3577,2013-05-18,Spanish,2094,CA
Trustees Fund,Hartford,College of Natural Science,Endowment,4264,2014-09-19,Actuarial Science,2095,CT
Trustees Fund,Hartford,College of Natural Science,Endowment,8558,2012-07-05,Actuarial Science,2095,CT
Faculty Chair Endowments,Chicago,College of Music,Endowment,7342,2013-01-09,Composition,2096,IL
Minority Scholarship Fund,Chicago,College of Music,Scholarship,91,2014-12-23,Composition,2096,IL
College of Arts and Sciences,Memphis,College of Arts and Sciences,Scholarship,9665,2012-03-25,Spanish,2097,TN
Trustees Fund,Memphis,College of Arts and Sciences,Endowment,4327,2013-05-05,Spanish,2097,TN
College of Social Science,Chicago,College of Music,Scholarship,9013,2014-06-15,Music,2098,IL
College of Engineering,Chicago,College of Music,Scholarship,6723,2012-02-23,Music,2098,IL
Diversity Fund,Columbia,College of Natural Science,Endowment,309,2013-12-05,Biomedical Laboratory Science,2099,SC
Campus Recreation,Columbia,College of Natural Science,Campus Resource,290,2014-06-22,Biomedical Laboratory Science,2099,SC
College of Natural Science,New Orleans,College of Social Science,Scholarship,7476,2012-06-24,Interdisciplinary Studies in Social Science,2100,LA
Diversity Fund,San Francisco,College of Nursing,Endowment,3263,2014-01-11,Summer Research Program,2101,CA
Trustees Fund,Los Angeles,College of Engineering,Endowment,9379,2013-03-07,Engineering-No Major,2102,CA
College of Education,New York,College of Arts and Sciences,Scholarship,9220,2012-10-18,Philosophy,2103,NY
Diversity Fund,Colorado Springs,College of Nursing,Endowment,7050,2014-01-19,Prenursing,2104,CO
Faculty Chair Endowments,Los Angeles,College of Education,Endowment,7372,2013-01-22,Special Education-Learning Disabilities,2105,CA
College of Agriculture and Natural Resources,Cincinnati,College of Music,Scholarship,9657,2012-02-12,Music,2106,OH
Minority Scholarship Fund,Richmond,College of Natural Science,Scholarship,9923,2014-06-26,Zoology,2107,VA
Trustees Fund,Chicago,College of Communication Arts and Sciences,Endowment,6805,2013-11-21,Journalism,2108,IL
Trustees Fund,Denver,College of Natural Science,Endowment,8953.5,2012-02-08,Neuroscience,2109,CO
Trustees Fund,Durham,College of Engineering,Endowment,2329,2014-02-12,Materials Science and Engineering,2110,NC
Diversity Fund,Denver,College of Natural Science,Endowment,13194,2013-09-13,Environmental Geosciences,2111,CO
College of Natural Science,Cincinnati,College of Engineering,Scholarship,711,2012-03-27,Computer Engineering,2112,OH
Minority Scholarship Fund,Tulsa,College of Social Science,Scholarship,4897,2013-08-11,Global & Area Studies - Soc Sci,2113,OK
Honors Program,Atlanta,College of Natural Science,Campus Resource,2163,2012-10-04,Preoptometry,2114,GA
Parents Association,Tucson,College of Arts and Sciences,Campus Resource,2731,2014-07-04,Women's and Gender Studies,2115,AZ
Campus Museums,St. Paul,College of Political Science,Campus Resource,6838,2012-11-29,Political Theory and Constitutional Democracy,2116,MN
Diversity Fund,Indianapolis,College of Education,Endowment,2775,2014-05-09,Education,2117,IN
Diversity Fund,Kansas City,College of Arts and Sciences,Endowment,4510,2012-12-09,Art Education,2118,KS
College of Business,Los Angeles,College of Business,Scholarship,1896,2014-08-07,Marketing,2119,CA
Trustees Fund,Phoenix,College of Social Science,Endowment,6200,2012-06-07,Political Science-Prelaw,2120,AZ
Athletics,San Francisco,College of Agriculture and Natural Resources,Campus Resource,6032,2014-09-04,Natural Resource Recreation and Tourism,2121,CA
University Annual Fund,Los Angeles,College of Natural Science,Endowment,5202,2012-10-23,Human Biology,2122,CA
College of Natural Science,Omaha,College of Engineering,Scholarship,8364,2014-12-25,Environmental Engineering,2123,NE
Diversity Fund,Denver,College of Arts and Sciences,Endowment,11692.5,2012-10-10,Interdisciplinary Humanities,2124,CO
Faculty Chair Endowments,North Las Vegas,College of Agriculture and Natural Resources,Endowment,582,2013-06-18,Environmental Economics and Policy,2125,NV
Diversity Fund,Henderson,College of Music,Endowment,8704,2012-03-22,Music Performance,2126,NV
College of Natural Science,Indianapolis,College of Education,Scholarship,3468,2014-01-23,Athletic Training,2127,IN
College of Natural Science,San Francisco,College of Natural Science,Scholarship,3577,2012-09-12,Predental,2128,CA
Alumni Association,Dallas,College of Arts and Sciences,Campus Resource,8558,2013-08-29,Humanities-Prelaw,2129,TX
In-State Scholarship Fund,Alexandria,College of Engineering,Scholarship,91,2012-01-16,Mechanical Engineering,2130,VA
College of Communication Arts and Sciences,Cincinnati,College of Political Science,Scholarship,4327,2014-11-20,Social Relations and Policy,2131,OH
College of Communication Arts and Sciences,Los Angeles,College of Agriculture and Natural Resources,Scholarship,6723,2013-09-19,Agriculture and Natural Resources-No Preference,2132,CA
Campus Museums,El Paso,College of Agriculture and Natural Resources,Campus Resource,290,2012-05-16,Environmental Economics and Policy,2133,TX
Trustees Fund,Cincinnati,College of Agriculture and Natural Resources,Endowment,3742,2014-10-05,Horticulture,2134,OH
University Annual Fund,Henderson,College of Arts and Sciences,Endowment,8501,2013-06-04,Studio Art,2135,NV
Campus Recreation,Houston,College of Arts and Sciences,Campus Resource,1411,2012-02-26,Apparel and Textile Design,2136,TX
Minority Scholarship Fund,Houston,College of Arts and Sciences,Scholarship,1411,2015-09-19,Apparel and Textile Design,2136,TX
Alumni Association,Cleveland,College of Natural Science,Campus Resource,9502,2014-03-26,Environmental Geosciences,2137,OH
University Libraries,Cleveland,College of Natural Science,Campus Resource,9502,2015-02-10,Environmental Geosciences,2137,OH
College of Education,Houston,College of Engineering,Scholarship,7490,2013-01-28,Materials Science and Engineering,2138,TX
University Annual Fund,Houston,College of Engineering,Endowment,7490,2015-12-23,Materials Science and Engineering,2138,TX
Honors Program,Durham,College of Natural Science,Campus Resource,8323,2014-06-28,Actuarial Science,2139,NC
College of Agriculture and Natural Resources,Durham,College of Natural Science,Scholarship,8323,2015-12-06,Actuarial Science,2139,NC
Diversity Fund,Colorado Springs,College of Engineering,Endowment,2911,2012-12-22,Applied Engineering Sciences,2140,CO
Faculty Chair Endowments,Colorado Springs,College of Engineering,Endowment,2911,2015-06-15,Applied Engineering Sciences,2140,CO
Diversity Fund,Detroit,College of Social Science,Endowment,3354,2014-03-21,Public Policy,2141,MI
College of Agriculture and Natural Resources,Detroit,College of Social Science,Scholarship,3354,2015-01-15,Public Policy,2141,MI
College of Agriculture and Natural Resources,Philadelphia,College of Natural Science,Scholarship,5130,2012-09-19,Environmental Biology/Plant Biol,2142,PA
Faculty Chair Endowments,Philadelphia,College of Natural Science,Endowment,5130,2015-06-29,Environmental Biology/Plant Biol,2142,PA
University Annual Fund,Hartford,College of Agriculture and Natural Resources,Endowment,1871,2014-02-10,Packaging,2143,CT
University Annual Fund,Hartford,College of Agriculture and Natural Resources,Endowment,1871,2015-12-09,Packaging,2143,CT
College of Agriculture and Natural Resources,Cleveland,College of Natural Science,Scholarship,8538,2012-12-23,Biochemistry and Molecular Biology/Biotechnology,2144,OH
College of Communication Arts and Sciences,Cleveland,College of Natural Science,Scholarship,8538,2015-06-01,Biochemistry and Molecular Biology/Biotechnology,2144,OH
Faculty Chair Endowments,Seattle,College of Engineering,Endowment,8577,2014-12-06,Applied Engineering Sciences,2145,WA
Diversity Fund,Seattle,College of Engineering,Endowment,8577,2015-01-23,Applied Engineering Sciences,2145,WA
College of Natural Science,Knoxville,College of Engineering,Scholarship,2918,2012-06-15,Materials Science and Engineering,2146,TN
College of Natural Science,Knoxville,College of Engineering,Scholarship,2918,2015-06-07,Materials Science and Engineering,2146,TN
College of Music,Sacramento,College of Nursing,Scholarship,6339,2014-01-15,Nursing,2147,CA
Campus Recreation,Sacramento,College of Nursing,Campus Resource,6339,2015-01-30,Nursing,2147,CA
Campus Museums,Providence,College of Natural Science,Campus Resource,9025,2015-11-26,Environmental Biology/Microbiology,2149,RI
Diversity Fund,Memphis,College of Arts and Sciences,Endowment,9153,2015-01-29,Russian,2150,TN
University Libraries,Eugene,College of Music,Campus Resource,7301,2015-04-23,Composition,2151,OR
Honors Program,Orlando,College of Nursing,Campus Resource,1606,2015-01-03,Summer Research Program,2152,FL
University Annual Fund,San Antonio,College of Natural Science,Endowment,8584,2015-10-07,Earth Science Interdepartmental,2153,TX
College of Education,Richmond,College of Natural Science,Scholarship,9475,2015-11-28,Biochemistry and Molecular Biology,2154,VA
Faculty Chair Endowments,Dallas,College of Agriculture and Natural Resources,Endowment,2325,2015-09-22,Nutritional Sciences,2155,TX
Campus Recreation,Memphis,College of Natural Science,Campus Resource,41,2015-09-08,Chemistry,2156,TN
University Annual Fund,San Francisco,College of Arts and Sciences,Endowment,7239,2015-02-20,Global Studies in the Arts and Humanities,2157,CA
College of Business,Miami,College of Arts and Sciences,Scholarship,5107,2015-05-03,Interdisciplinary Humanities,2158,FL
Trustees Fund,San Diego,College of Engineering,Endowment,7346,2015-08-04,Mechanical Engineering,2159,CA
University Annual Fund,San Francisco,College of Business,Endowment,8867,2015-12-23,General Management,2160,CA
Diversity Fund,New York,College of Communication Arts and Sciences,Endowment,9,2015-04-30,Media and Information,2161,NY
College of Social Science,San Francisco,College of Engineering,Scholarship,8331,2015-01-17,Applied Engineering Sciences,2162,CA
Minority Scholarship Fund,New York,College of Education,Scholarship,6283,2015-07-19,Kinesiology,2163,NY
College of Social Science,Boston,College of Arts and Sciences,Scholarship,6892,2015-04-15,French,2164,MA
College of Social Science,Hartford,College of Natural Science,Scholarship,9818,2015-10-04,Microbiology,2165,CT
University Annual Fund,Dallas,College of Arts and Sciences,Endowment,4852,2015-04-26,Russian,2166,TX
College of Engineering,Atlanta,College of Arts and Sciences,Scholarship,4501,2015-02-19,Humanities-Prelaw,2167,GA
College of Political Science,Charlotte,College of Social Science,Scholarship,6718,2015-03-13,Sociology,2168,NC
Parents Association,Atlanta,College of Political Science,Campus Resource,4709,2015-12-18,College of Political Science,2169,GA
College of Natural Science,Huntsville,College of Natural Science,Scholarship,1609,2015-11-16,Human Biology,2170,AL
Diversity Fund,Hartford,College of Social Science,Endowment,100,2015-01-25,Urban and Regional Planning,2171,CT
Parents Association,New Orleans,College of Natural Science,Campus Resource,7480,2015-06-19,Geological Sciences,2172,LA
University Annual Fund,Portland,College of Arts and Sciences,Endowment,9630,2015-05-29,Humanities-Prelaw,2173,OR
Campus Recreation,Denver,College of Natural Science,Campus Resource,1056,2015-01-11,Chemistry,2174,CO
Diversity Fund,Houston,College of Natural Science,Endowment,4840,2015-07-28,Actuarial Science,2175,TX
Trustees Fund,Hartford,College of Agriculture and Natural Resources,Endowment,3115,2015-10-16,Agribusiness Management,2176,CT
University Annual Fund,Denver,College of Music,Endowment,13933.5,2015-01-22,Music,2177,CO
Faculty Chair Endowments,Dallas,College of Agriculture and Natural Resources,Endowment,8514,2015-03-07,Environmental Studies and Agriscience,2178,TX
Athletics,Charleston,College of Natural Science,Campus Resource,625,2015-01-03,Plant Biology,2179,SC
Alumni Association,Birmingham,College of Arts and Sciences,Campus Resource,8980,2015-01-25,Experience Architecture,2180,AL
Minority Scholarship Fund,Mobile,College of Arts and Sciences,Scholarship,1438,2015-09-30,Arabic,2181,AL
Faculty Chair Endowments,Charleston,College of Nursing,Endowment,8740,2015-11-06,Nursing,2182,SC
Diversity Fund,Raleigh,College of Arts and Sciences,Endowment,9598,2015-10-18,Apparel and Textile Design,2183,NC
Diversity Fund,Nashville,College of Natural Science,Endowment,4877,2015-01-27,Plant Biology,2184,TN
University Libraries,Savannah,College of Political Science,Campus Resource,3802,2015-06-21,Political Theory and Constitutional Democracy,2185,GA
Athletics,New York,College of Natural Science,Campus Resource,1290,2015-11-10,Environmental Biology/Microbiology,2186,NY
Diversity Fund,Houston,College of Arts and Sciences,Endowment,3947,2015-08-29,Interdisciplinary Humanities,2187,TX
University Annual Fund,San Francisco,College of Agriculture and Natural Resources,Endowment,6083,2015-10-17,Food Science,2188,CA
College of Social Science,Orlando,College of Agriculture and Natural Resources,Scholarship,2640,2015-05-29,Fisheries and Wildlife,2189,FL
College of Agriculture and Natural Resources,Alexandria,College of Natural Science,Scholarship,5468,2015-07-05,Earth Science Interdepartmental,2190,VA
Trustees Fund,Boston,College of Natural Science,Endowment,5539,2015-03-12,Biomedical Laboratory Science,2191,MA
Campus Recreation,Memphis,College of Arts and Sciences,Campus Resource,6073,2015-12-16,Arabic,2192,TN
College of Natural Science,Fresno,College of Arts and Sciences,Scholarship,6638,2015-10-31,Chinese,2193,CA
College of Agriculture and Natural Resources,Miami,College of Social Science,Scholarship,5947,2015-03-16,Urban and Regional Planning,2194,FL
Minority Scholarship Fund,Denver,College of Engineering,Scholarship,8088,2015-07-02,Biosystems Engineering,2195,CO
College of Natural Science,Seattle,College of Engineering,Scholarship,5068,2015-01-07,Electrical Engineering,2196,WA
College of Business,New York,College of Natural Science,Scholarship,6481,2015-08-08,Human Biology,2197,NY
Faculty Chair Endowments,St. Paul,College of Communication Arts and Sciences,Endowment,3438,2015-06-22,Journalism,2198,MN
University Annual Fund,Phoenix,College of Music,Endowment,8910,2015-06-08,Music Performance,2199,AZ
University Annual Fund,Boston,College of Music,Endowment,7487,2015-07-08,Composition,2200,MA
In-State Scholarship Fund,Albuquerque,College of Natural Science,Scholarship,8045,2015-02-23,Chemical Physics,2201,NM
Faculty Chair Endowments,Orlando,College of Social Science,Endowment,8886,2015-06-22,Public Policy,2202,FL
College of Natural Science,Tucson,College of Agriculture and Natural Resources,Scholarship,4575,2015-04-06,Packaging,2203,AZ
College of Natural Science,Chicago,College of Agriculture and Natural Resources,Scholarship,8701,2015-10-30,Food Science,2204,IL
University Libraries,San Francisco,College of Social Science,Campus Resource,5668,2015-01-13,Economics,2205,CA
College of Natural Science,Miami,College of Nursing,Scholarship,303,2015-02-21,Summer Research Program,2206,FL
College of Engineering,Charlotte,College of Social Science,Scholarship,1548,2015-09-17,Interdisciplinary Studies in Social Science,2207,NC
Trustees Fund,Salem,College of Agriculture and Natural Resources,Endowment,7306,2015-12-09,Horticulture,2208,OR
Trustees Fund,Memphis,College of Agriculture and Natural Resources,Endowment,1440,2015-01-09,Environmental Studies and Agriscience,2209,TN
Diversity Fund,Phoenix,College of Natural Science,Endowment,5144,2015-04-25,Microbiology,2210,AZ
University Annual Fund,Dallas,College of Social Science,Endowment,5325,2015-07-25,Geographic Information Science,2211,TX
Parents Association,Manchester,College of Social Science,Campus Resource,3351,2015-11-01,Interdisciplinary Studies in Social Science - Social Science Education,2212,NH
In-State Scholarship Fund,Durham,College of Arts and Sciences,Scholarship,6813,2015-01-02,Professional Writing,2213,NC
